SITE,BRAND,NAME,ADD1,ADD2,POST CODE,24 HR,HGV,LONG,LAT,Google Maps Link
052962,ESSO,RONTEC PEMBURY,"HIGH STREET, PEMBURY",TUNBRIDGE WELLS         ,TN2 4NG,Y,0,+000.31283,+051.14458,Google Maps Link
013882,ESSO,PADDOCK WOOD,147 MAIDSTONE ROAD            ,TUNBRIDGE WELLS         ,TN12 6DP,N,0,+000.38543,+051.17839,Google Maps Link
51251,HARVEST,COLLEGE SERVICE STATION       ,36 - 38 SOUTHEND ROAD         ,GRAYS                         ,RM17 5NJ,Y,0,0.33564,51.48477,Google Maps Link
3808,ESSO,MRH DANEHOLES                 ,"STANFORD ROAD, ORSETT",GRAYS                         ,RM16 4XS,Y,0,0.34419,51.48884,Google Maps Link
13839,ESSO,MRH CHAFFORD SERVICE STATION  ,HOGG LANE                     ,GRAYS                         ,RM17 5QT,Y,0,0.31821,51.48045,Google Maps Link
13877,ESSO,MRH MEADS SERVICE STATION     ,ARTERIAL ROAD                 ,PURFLEET                      ,RM19 1TS,Y,1,0.24545,51.48581,Google Maps Link
7052,ESSO,CORRINGHAM SERVICE STATION    ,"CHURCH ROAD, CORRINGHAM",STANFORD LE HOPE              ,SS17 9AP,Y,0,0.462,51.52476,Google Maps Link
13445,ESSO,STANFORD LE HOPE 070          ,LONDON ROAD                   ,STANFORD LE HOPE              ,SS17 0LD,Y,0,0.41979,51.51396,Google Maps Link
12312,ESSO,MRH AVELEY SERVICE STATION    ,"PURFLEET ROAD, AVELEY            ",SOUTH OCKENDON                ,RM15 4DJ,Y,1,0.25102,51.50012,Google Maps Link
13897,ESSO,THURROCK SERVICE AREA         ,M25 OFF A1306 ARTERIAL RD W   ,THURROCK                      ,RM16 3BG,Y,1,0.2717,51.49099,Google Maps Link
